Treatment Group ,Genotype,Intensity,variable
hyp/sym,A,1.105567578,lpo
hyp/sym,B,1.722345326,lpo
hyp/sym,C,1.212711842,lpo
hyp/sym,D,0.281962078,lpo
hyp/sym,E,1.496190688,lpo
hyp/sym,F,0.730019302,lpo
hyp/sym,G,1.173518316,lpo
hyp/sym,H,1.501927738,lpo
hyp/sym,H,0.534776832,lpo
hyp/sym,I,1.164546745,lpo
hyp/sym,I,1.627604752,lpo
hyp/sym,I,0.870321913,lpo
hyp/sym,A,1.728492726,lpo
hyp/sym,B,1.542523348,lpo
hyp/sym,C,1.32149405,lpo
hyp/sym,C,0.999513444,lpo
hyp/sym,D,1.050153031,lpo
hyp/sym,E,1.224770155,lpo
hyp/sym,E,2.138089208,lpo
hyp/sym,F,0.677322573,lpo
norm/apo,J,0.51569759,lpo
norm/apo,J,0.782587719,lpo
norm/apo,J,1.37557111,lpo
norm/apo,K,0.919508944,lpo
norm/apo,K,1.14120795,lpo
norm/apo,K,0.928094599,lpo
norm/apo,L,1.288320002,lpo
norm/apo,L,1.056631419,lpo
norm/apo,L,1.224736367,lpo
norm/apo,M,0.543203187,lpo
norm/apo,M,0.290824621,lpo
norm/apo,M,0.919100755,lpo
norm/apo,N,0.861578017,lpo
norm/apo,N,0.540136327,lpo
norm/apo,N,0.342537601,lpo
norm/apo,O,0.365821971,lpo
norm/apo,O,0.297850699,lpo
norm/apo,O,1.176639755,lpo
norm/apo,P,1.124057629,lpo
norm/apo,P,0.695909227,lpo
norm/apo,Q,0.434851252,lpo
norm/apo,Q,0.737723489,lpo
norm/apo,Q,1.352965031,lpo
norm/apo,R,1.083242423,lpo
norm/apo,R,0.297157759,lpo
norm/apo,R,0.41647529,lpo
norm/sym,A,1.508824892,lpo
norm/sym,A,1.434213597,lpo
norm/sym,A,0.953124567,lpo
norm/sym,B,1.360971396,lpo
norm/sym,B,1.912488606,lpo
norm/sym,B,1.110579063,lpo
norm/sym,C,0.702782968,lpo
norm/sym,C,1.127882307,lpo
norm/sym,C,0.864407109,lpo
norm/sym,D,1.070842244,lpo
norm/sym,D,1.492180314,lpo
norm/sym,E,0.833672863,lpo
norm/sym,E,0,lpo
norm/sym,E,0,lpo
norm/sym,F,0.408110963,lpo
norm/sym,F,0,lpo
norm/sym,G,0.960093933,lpo
norm/sym,G,1.637222271,lpo
norm/sym,G,1.151260828,lpo
norm/sym,H,1.842159878,lpo
norm/sym,H,1.428603007,lpo
norm/sym,H,1.016378387,lpo
norm/sym,I,1.378526495,lpo
norm/sym,I,1.2485666,lpo
norm/sym,I,0.899456298,lpo
hyp/apo,J,0.585072277,lpo
hyp/apo,K,0.990853371,lpo
hyp/apo,L,1.247695326,lpo
hyp/apo,M,0.507653056,lpo
hyp/apo,N,0.885699713,lpo
hyp/apo,O,0.971727003,lpo
hyp/apo,P,0.714839431,lpo
hyp/apo,Q,1.079146326,lpo
hyp/apo,J,0.535846593,lpo
hyp/apo,J,0.963215785,lpo
hyp/apo,K,0.42041585,lpo
hyp/apo,K,0.691948518,lpo
hyp/apo,L,0.879886679,lpo
hyp/apo,M,0.323405795,lpo
hyp/apo,M,1.345831565,lpo
hyp/apo,N,0.923037251,lpo
hyp/apo,O,0.905178835,lpo
hyp/apo,O,0.513281392,lpo
hyp/apo,P,0.984288789,lpo
hyp/apo,P,1.42738857,lpo
hyp/apo,Q,0.85462522,lpo
hyp/apo,Q,1.009737668,lpo
hyp/apo,R,2.664217963,lpo
hyp/apo,R,1.538121714,lpo
hyp/sym,A,0,dnad
hyp/sym,B,1.610941469,dnad
hyp/sym,C,0.970679054,dnad
hyp/sym,D,1.350324379,dnad
hyp/sym,E,1.610336681,dnad
hyp/sym,F,2.349293889,dnad
hyp/sym,G,1.73112122,dnad
hyp/sym,G,1.538335878,dnad
hyp/sym,H,0.851644921,dnad
hyp/sym,H,1.163282169,dnad
hyp/sym,H,1.018221537,dnad
hyp/sym,I,0.696134482,dnad
hyp/sym,I,0.73753384,dnad
hyp/sym,I,0.700638242,dnad
hyp/sym,A,0.609972268,dnad
hyp/sym,B,0,dnad
hyp/sym,C,0.698040007,dnad
hyp/sym,C,1.808641449,dnad
hyp/sym,D,0,dnad
hyp/sym,D,0,dnad
hyp/sym,E,1.309733809,dnad
hyp/sym,E,2.241561925,dnad
hyp/sym,F,0,dnad
norm/apo,J,0.857827189,dnad
norm/apo,J,0.668139579,dnad
norm/apo,J,0.642439072,dnad
norm/apo,K,0.595753277,dnad
norm/apo,K,0.365301789,dnad
norm/apo,K,0.45731635,dnad
norm/apo,L,0.486377367,dnad
norm/apo,L,0.715981636,dnad
norm/apo,M,0.873708375,dnad
norm/apo,M,1.217100392,dnad
norm/apo,M,0.723165852,dnad
norm/apo,N,0.462393806,dnad
norm/apo,N,0.722270424,dnad
norm/apo,N,0.781675771,dnad
norm/apo,O,0.962648636,dnad
norm/apo,O,1.552430848,dnad
norm/apo,O,0.645780835,dnad
norm/apo,P,1.840386574,dnad
norm/apo,P,1.347433947,dnad
norm/apo,P,1.059468768,dnad
norm/apo,Q,1.284618194,dnad
norm/apo,Q,1.003809818,dnad
norm/apo,Q,0.793640897,dnad
norm/apo,R,1.046121073,dnad
norm/apo,R,1.047528669,dnad
norm/apo,R,0.991014414,dnad
norm/sym,A,1.6109098,dnad
norm/sym,A,1.726338382,dnad
norm/sym,A,0.947786411,dnad
norm/sym,B,1.24725727,dnad
norm/sym,B,1.163027951,dnad
norm/sym,C,1.294412226,dnad
norm/sym,C,0.566710935,dnad
norm/sym,C,1.199601465,dnad
norm/sym,D,0.802714648,dnad
norm/sym,D,0,dnad
norm/sym,E,0.899172176,dnad
norm/sym,E,3.786817262,dnad
norm/sym,F,0.854355369,dnad
norm/sym,F,2.331395524,dnad
norm/sym,G,1.520363833,dnad
norm/sym,G,1.356350985,dnad
norm/sym,H,0,dnad
norm/sym,H,1.121373671,dnad
norm/sym,H,0.439130412,dnad
norm/sym,I,0,dnad
norm/sym,I,0.527525579,dnad
norm/sym,I,0,dnad
hyp/apo,J,0.576941642,dnad
hyp/apo,K,0.407754419,dnad
hyp/apo,L,1.000770514,dnad
hyp/apo,M,1.010790708,dnad
hyp/apo,N,0.694415011,dnad
hyp/apo,O,1.280043015,dnad
hyp/apo,P,1.543688082,dnad
hyp/apo,R,0.541013541,dnad
hyp/apo,J,0.539858142,dnad
hyp/apo,J,1.087873525,dnad
hyp/apo,K,0.431558873,dnad
hyp/apo,K,0.646566208,dnad
hyp/apo,L,1.359613098,dnad
hyp/apo,M,0.625684229,dnad
hyp/apo,M,1.065342329,dnad
hyp/apo,N,1.29869909,dnad
hyp/apo,O,0.843479842,dnad
hyp/apo,O,1.191549008,dnad
hyp/apo,P,1.629712298,dnad
hyp/apo,P,1.227032773,dnad
hyp/apo,Q,1.386769746,dnad
hyp/apo,Q,1.657269079,dnad
hyp/apo,R,1.272195956,dnad
hyp/apo,R,1.573692368,dnad
norm/sym,A,0.883630236,pcarb
norm/sym,A,0.996424749,pcarb
norm/sym,A,0.618453919,pcarb
norm/sym,B,0.871094118,pcarb
norm/sym,B,0.772419079,pcarb
norm/sym,B,1.228373241,pcarb
norm/sym,C,0.554709983,pcarb
norm/sym,C,0.431857558,pcarb
norm/sym,C,0.661634809,pcarb
norm/sym,D,1.308852296,pcarb
norm/sym,D,1.144570088,pcarb
norm/sym,D,0.828956348,pcarb
norm/sym,E,0.61214162,pcarb
norm/sym,E,1.798043789,pcarb
norm/sym,E,1.294189316,pcarb
norm/sym,F,1.251129546,pcarb
norm/sym,F,1.370514224,pcarb
norm/sym,F,1.204169195,pcarb
norm/sym,G,1.168606292,pcarb
norm/sym,G,1.553361509,pcarb
norm/sym,H,0.710682048,pcarb
norm/sym,H,1.320665799,pcarb
norm/sym,H,1.341207957,pcarb
norm/sym,I,1.068168067,pcarb
norm/sym,I,1.973270585,pcarb
norm/sym,I,1.221926749,pcarb
hyp/sym,A,1.322943917,pcarb
hyp/sym,A,0.933825952,pcarb
hyp/sym,A,1.147218206,pcarb
hyp/sym,B,1.281290077,pcarb
hyp/sym,B,1.052069516,pcarb
hyp/sym,B,1.112320053,pcarb
hyp/sym,C,0.473760839,pcarb
hyp/sym,C,0.646989643,pcarb
hyp/sym,C,1.014776166,pcarb
hyp/sym,D,1.798900056,pcarb
hyp/sym,D,0.361450889,pcarb
hyp/sym,D,1.787089634,pcarb
hyp/sym,E,0.855891471,pcarb
hyp/sym,E,0.696360973,pcarb
hyp/sym,E,0.60144938,pcarb
hyp/sym,F,0.925100353,pcarb
hyp/sym,F,1.146292144,pcarb
hyp/sym,G,1.45070403,pcarb
hyp/sym,G,0.27607117,pcarb
hyp/sym,G,1.260170955,pcarb
hyp/sym,H,0.521712188,pcarb
hyp/sym,H,1.061269003,pcarb
hyp/sym,H,1.215830193,pcarb
hyp/sym,I,1.165626591,pcarb
hyp/sym,I,1.39826049,pcarb
hyp/sym,I,1.570384412,pcarb
norm/apo,J,1.03939215,pcarb
norm/apo,J,0.813516653,pcarb
norm/apo,J,0.578574968,pcarb
norm/apo,K,1.179620178,pcarb
norm/apo,K,0.949386408,pcarb
norm/apo,K,0.506387986,pcarb
norm/apo,L,1.376658227,pcarb
norm/apo,L,1.128444583,pcarb
norm/apo,L,0.7894478,pcarb
norm/apo,M,0.150953778,pcarb
norm/apo,M,0.850747133,pcarb
norm/apo,M,0.975302369,pcarb
norm/apo,N,0.74354779,pcarb
norm/apo,N,1.18670415,pcarb
norm/apo,N,0.545134702,pcarb
norm/apo,O,0.72531801,pcarb
norm/apo,O,0.732224988,pcarb
norm/apo,O,0.535706923,pcarb
norm/apo,P,0.818360122,pcarb
norm/apo,P,0.848706442,pcarb
norm/apo,P,0.757078722,pcarb
norm/apo,Q,0.539453577,pcarb
norm/apo,Q,0.687116618,pcarb
norm/apo,Q,1.019050078,pcarb
norm/apo,R,1.367918219,pcarb
norm/apo,R,0.342775866,pcarb
hyp/apo,J,0.945586035,pcarb
hyp/apo,J,0.777730701,pcarb
hyp/apo,J,0.819495576,pcarb
hyp/apo,K,0.87946869,pcarb
hyp/apo,K,0.367906618,pcarb
hyp/apo,K,0.36168336,pcarb
hyp/apo,L,1.639690641,pcarb
hyp/apo,L,0.733094205,pcarb
hyp/apo,L,1.507882299,pcarb
hyp/apo,M,0.865013255,pcarb
hyp/apo,M,1.689996109,pcarb
hyp/apo,N,1.257522305,pcarb
hyp/apo,N,2.443947487,pcarb
hyp/apo,N,0.646074157,pcarb
hyp/apo,O,1.203227548,pcarb
hyp/apo,O,1.266999645,pcarb
hyp/apo,O,0.789345243,pcarb
hyp/apo,P,0.838088476,pcarb
hyp/apo,P,1.428936591,pcarb
hyp/apo,P,0.885303717,pcarb
hyp/apo,Q,0.860326464,pcarb
hyp/apo,Q,0.730086464,pcarb
hyp/apo,Q,0.779675595,pcarb
hyp/apo,R,1.344910804,pcarb
hyp/apo,R,0.777958322,pcarb
hyp/apo,R,1.705709846,pcarb
